ObjectName,State,ImageFile
Autoclave Bags,"Front, Back, Object inside",37ED727B.jpg
Autoclave Bags,"Front, Back",4154CCC2.jpg
Autoclave Bags,Inside the box,74DAD87D.jpg
Autoclave Bags,Opened,C201207E.jpg
Big Drape,"Front, Opened",3CE805B4.jpg
Big Drape,"Back, Front",5CC4B3AA.jpg
Big Drape,"Opened, Items",C3027A9C.jpg
Big Drape,"Back, Opened",D4D97EC1.jpg
Bins,Bin(side) With Objects,0C9B9B8A.jpg
Bins,Bin(side) With Objects,2DFB49FF.jpg
Bins,Bin With Objects,6717D1FA.jpg
Bins,Bin With Objects,832AA81C.jpg
Bins,Bin With Objects,8655CBD9.jpg
Bins,Bin(side) With Objects,9CE7C86A.jpg
Bins,Bin(side) With Objects,A3983705.jpg
Bins,Bin With Objects,AE800BCE.jpg
Bins,Bin With Objects,B47848B0.jpg
Bins,Bin Side,C30ACA21.jpg
Bins,Bin,C9689CC1.jpg
Bins,Bin With Objects,CABFF091.jpg
Clorex Wipe,Opened,0FF46B7E.jpg
Clorex Wipe,Closed,1B52C896.jpg
Clorex Wipe,Opened,207634E3.jpg
Clorex Wipe,Side,34BD18D0.jpg
Clorex Wipe,Closed,85876175.jpg
Clorex Wipe,Opened,B85330ED.jpg
Clorex Wipe,Opened,CE0DAAAD.jpg
Gauze,Single Object,0A34F1DE.jpg
Gauze,"Object, Opened, Autoclave",504D20D5.jpg
Gauze,"Packaging Side, Other Side",56220A44.jpg
Gauze,"Packaging Side, Other Side",804A6F1E.jpg
Gauze,"Packaging Upright, Side",8ADEBCDF.jpg
Gauze,"Packaging Upright, Side",A1EFE8B0.jpg
Gauze Sponge,Opened,04014F7A.jpg
Gauze Sponge,"Opened, Object out",176A444D.jpg
Gauze Sponge,Storage Side,31B3BFFF.jpg
Gauze Sponge,"Front, Back",A20E3532.jpg
Gauze Sponge,Storage Top,B4A94384.jpg
IV Kits,Single Item,334583DF.jpg
IV Kits,"Front, Opened",4B0340CA.jpg
Tegaderm,"Front, Back",D7A4F397.jpg
IV Kits,"Opened, Displayed",CFA17526.jpg
NIST Board,NIST BOARD,06EFD4E5.jpg
NIST Board,Task Object Displayed,1625A784.jpg
NIST Board,Task Object Template,F2476E51.jpg
Purple Wipes,Opened,21F6B8E4.jpg
Purple Wipes,Side,497EB16C.jpg
Purple Wipes,Closed,6DBD06A5.jpg
Purple Wipes,Closed,82A6A713.jpg
Purple Wipes,Opened,C7424387.jpg
Small Drape,"Front, Back",0ACBC7E7.jpg
Small Drape,Flat,113D45F9.jpg
Small Drape,"Back, Opened",461678E0.jpg
Small Drape,"Object, Opened, Autoclave",63733405.jpg
Small Drape,"Unfolded, Open",8DB47A0C.jpg
Small Drape,"Unfolded, Open",FA3E198A.jpg
Tegaderm,"Back, Opened",A1B2C3D4.JPG
Tegaderm,Storage Box,329C74D0.jpg
Tegaderm,"Front, Back",982D39E4.jpg
Tegaderm,"Object, Opened",DAFD3BAD.jpg
Tegaderm,"Object, Opened",EB97A83D.jpg
Tegaderm,Storage,F5A872A4.jpg
Wipe Testbed,Test Bed,8A168AB1.jpg
Wipe Testbed,Test Bed,CA3B9D82.jpg
,,
Photo bench,,1BCC7551.jpg
